"","Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount","Label","Code","ave_house_transfers","ave_registered_vehicles","ratio_less_five_years_car_age","ave_total_jobs","category","occupation"
"1","Abbotsford","68 Studley St",2,"h",NA,"SS","Jellis","3/09/2016",2.5,3067,2,1,1,126,NA,NA,"Yarra City Council",-37.8014,144.9958,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"2","Abbotsford","68 Studley St",2,"h",NA,"SS","Jellis","3/09/2016",2.5,3067,2,1,1,126,NA,NA,"Yarra City Council",-37.8014,144.9958,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"3","Abbotsford","68 Studley St",2,"h",NA,"SS","Jellis","3/09/2016",2.5,3067,2,1,1,126,NA,NA,"Yarra City Council",-37.8014,144.9958,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"4","Abbotsford","85 Turner St",2,"h",1480000,"S","Biggin","3/12/2016",2.5,3067,2,1,1,202,NA,NA,"Yarra City Council",-37.7996,144.9984,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"5","Abbotsford","85 Turner St",2,"h",1480000,"S","Biggin","3/12/2016",2.5,3067,2,1,1,202,NA,NA,"Yarra City Council",-37.7996,144.9984,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"6","Abbotsford","85 Turner St",2,"h",1480000,"S","Biggin","3/12/2016",2.5,3067,2,1,1,202,NA,NA,"Yarra City Council",-37.7996,144.9984,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"7","Abbotsford","25 Bloomburg St",2,"h",1035000,"S","Biggin","4/02/2016",2.5,3067,2,1,0,156,79,1900,"Yarra City Council",-37.8079,144.9934,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"8","Abbotsford","25 Bloomburg St",2,"h",1035000,"S","Biggin","4/02/2016",2.5,3067,2,1,0,156,79,1900,"Yarra City Council",-37.8079,144.9934,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
"9","Abbotsford","25 Bloomburg St",2,"h",1035000,"S","Biggin","4/02/2016",2.5,3067,2,1,0,156,79,1900,"Yarra City Council",-37.8079,144.9934,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.48,86108.6666666667,"professional, scientific and technical services","Professionals "
"10","Abbotsford","18/659 Victoria St",3,"u",NA,"VB","Rounds","4/02/2016",2.5,3067,3,2,1,0,NA,NA,"Yarra City Council",-37.8114,145.0116,"Northern Metropolitan",4019,"Yarra","27350",706.333333333333,68856.6666666667,0.47,86108.6666666667,"professional, scientific and technical services","Professionals "
